,UF,V0227,V0226,V02322,V4621,V4105
247,11,,2.0,2.0,1500.0,1
248,11,,2.0,4.0,0.0,1
249,11,,2.0,4.0,139.0,1
250,11,,2.0,2.0,687.0,1
251,11,,,,,1
252,11,,2.0,2.0,400.0,1
253,11,,2.0,2.0,1282.0,1
254,11,,2.0,4.0,839.0,1
255,11,,2.0,4.0,678.0,1
256,11,,2.0,4.0,400.0,1
257,11,,2.0,4.0,669.0,1
258,11,,2.0,2.0,300.0,1
259,11,,2.0,2.0,135.0,1
260,11,,2.0,4.0,678.0,1
261,11,,,,,1
262,11,,2.0,2.0,350.0,1
263,11,,2.0,4.0,1100.0,1
264,11,,2.0,4.0,602.0,1
265,11,,2.0,4.0,1200.0,1
266,11,,2.0,4.0,339.0,1
267,11,,2.0,4.0,2000.0,1
268,11,,2.0,4.0,739.0,1
269,11,,2.0,4.0,700.0,1
270,11,,2.0,4.0,678.0,1
271,11,,2.0,2.0,1250.0,1
272,11,,2.0,4.0,562.0,1
273,11,,2.0,4.0,100.0,1
274,11,,2.0,2.0,1061.0,1
275,11,,2.0,2.0,950.0,1
276,11,,2.0,4.0,669.0,1
277,11,,2.0,2.0,1150.0,1
278,11,,2.0,2.0,1500.0,1
279,11,,2.0,2.0,590.0,1
280,11,,2.0,4.0,0.0,1
281,11,,2.0,2.0,2263.0,1
282,11,,2.0,4.0,544.0,1
283,11,,2.0,2.0,850.0,1
284,11,,2.0,4.0,133.0,1
285,11,,,,,1
286,11,,2.0,4.0,1200.0,1
287,11,,2.0,2.0,1100.0,1
288,11,,2.0,2.0,852.0,1
289,11,,2.0,4.0,165.0,1
290,11,,,,,1
291,11,,2.0,4.0,850.0,1
292,11,,,,,1
293,11,,2.0,4.0,3750.0,1
294,11,,2.0,2.0,1166.0,1
295,11,,2.0,4.0,169.0,1
296,11,,2.0,2.0,1160.0,1
297,11,,2.0,2.0,313.0,1
298,11,,2.0,4.0,789.0,1
299,11,,,,,1
300,11,,,,,1
301,11,,2.0,4.0,40.0,1
302,11,,2.0,2.0,850.0,1
303,11,,2.0,2.0,329.0,1
304,11,,2.0,2.0,427.0,1
305,11,,,,,1
306,11,,2.0,2.0,600.0,1
307,11,,2.0,4.0,1625.0,1
308,11,,2.0,4.0,889.0,1
309,11,,2.0,4.0,325.0,1
310,11,,2.0,4.0,1400.0,1
311,11,,2.0,4.0,829.0,1
312,11,,2.0,2.0,292.0,1
313,11,,2.0,4.0,643.0,1
314,11,,2.0,4.0,950.0,1
315,11,,2.0,2.0,1650.0,1
316,11,,2.0,4.0,1660.0,1
317,11,,2.0,2.0,571.0,1
318,11,,,,,1
319,11,,2.0,4.0,290.0,1
320,11,,2.0,2.0,482.0,1
321,11,,2.0,4.0,4450.0,1
322,11,,2.0,4.0,354.0,1
323,11,,2.0,2.0,4000.0,1
324,11,,2.0,2.0,6213.0,1
325,11,,2.0,4.0,594.0,1
326,11,,2.0,4.0,466.0,1
327,11,,,,,1
328,11,,2.0,4.0,28.0,1
329,11,,2.0,4.0,428.0,1
330,11,,2.0,4.0,678.0,1
331,11,3.0,4.0,4.0,1356.0,1
332,11,,2.0,4.0,56.0,1
333,11,,2.0,4.0,1050.0,1
334,11,,2.0,4.0,566.0,1
335,11,,,,,1
336,11,,2.0,4.0,1366.0,1
337,11,,2.0,2.0,1100.0,1
338,11,,2.0,4.0,1500.0,1
339,11,,2.0,4.0,1678.0,8
340,11,,2.0,4.0,240.0,8
341,11,,2.0,4.0,162.0,8
342,11,,2.0,4.0,460.0,8
343,11,,2.0,4.0,350.0,8
344,11,3.0,4.0,2.0,403.0,8
345,11,,2.0,4.0,451.0,8
346,11,,2.0,4.0,678.0,8
347,11,,2.0,4.0,418.0,8
348,11,,2.0,4.0,196.0,8
349,11,,2.0,4.0,339.0,8
350,11,,2.0,4.0,578.0,8
351,11,,2.0,4.0,728.0,8
352,11,,2.0,4.0,678.0,8
353,11,3.0,4.0,4.0,833.0,8
354,11,,2.0,4.0,1000.0,8
355,11,,2.0,2.0,1350.0,8
356,11,,2.0,4.0,0.0,8
357,11,,2.0,4.0,500.0,8
358,11,,2.0,4.0,489.0,8
359,11,,2.0,4.0,584.0,8
360,11,,,,,8
361,11,,2.0,4.0,160.0,8
362,11,,2.0,2.0,658.0,8
363,11,,2.0,4.0,133.0,8
364,11,,2.0,4.0,452.0,8
365,11,,2.0,4.0,0.0,8
366,11,,2.0,4.0,500.0,8
367,11,,2.0,4.0,678.0,8
368,11,,2.0,4.0,300.0,8
369,11,,,,,8
370,11,,2.0,4.0,216.0,8
371,11,,2.0,4.0,108.0,8
372,11,,2.0,4.0,500.0,8
373,11,,2.0,2.0,1050.0,1
374,11,,2.0,4.0,335.0,1
375,11,3.0,4.0,4.0,1000.0,1
376,11,,2.0,2.0,1211.0,1
377,11,,,,,1
378,11,,2.0,2.0,992.0,1
379,11,,2.0,4.0,500.0,1
380,11,,,,,1
381,11,,2.0,2.0,6000.0,1
382,11,,2.0,4.0,7000.0,1
383,11,,2.0,2.0,900.0,1
384,11,,2.0,2.0,1075.0,1
385,11,,2.0,4.0,678.0,1
386,11,,2.0,2.0,2347.0,1
387,11,,2.0,2.0,3400.0,1
388,11,,2.0,4.0,1000.0,1
389,11,,2.0,2.0,2175.0,1
390,11,,2.0,4.0,250.0,1
391,11,,2.0,4.0,333.0,1
392,11,,2.0,4.0,339.0,1
393,11,,2.0,2.0,2833.0,1
394,11,,2.0,4.0,200.0,1
395,11,3.0,4.0,4.0,678.0,1
396,11,1.0,4.0,4.0,678.0,1
397,11,,2.0,4.0,283.0,1
398,11,,2.0,4.0,24.0,1
399,11,,2.0,4.0,339.0,1
400,11,,2.0,4.0,678.0,1
401,11,,,,,1
402,11,,2.0,2.0,933.0,1
403,11,,2.0,4.0,678.0,1
404,11,,2.0,2.0,0.0,1
405,11,,2.0,4.0,666.0,8
406,11,,2.0,4.0,92.0,8
407,11,,2.0,2.0,1226.0,8
408,11,,2.0,4.0,178.0,8
409,11,,2.0,4.0,200.0,8
410,11,,2.0,4.0,935.0,8
411,11,,2.0,4.0,2179.0,8
412,11,,2.0,2.0,966.0,8
413,11,,2.0,4.0,678.0,8
414,11,,,,,8
415,11,,2.0,4.0,670.0,8
416,11,,2.0,4.0,492.0,8
417,11,,2.0,4.0,678.0,8
418,11,,2.0,4.0,652.0,8
419,11,,2.0,4.0,514.0,8
420,11,3.0,4.0,4.0,678.0,8
421,11,,2.0,4.0,333.0,8
422,11,,2.0,4.0,146.0,8
423,11,3.0,4.0,4.0,1356.0,8
424,11,,2.0,4.0,489.0,8
425,11,,2.0,4.0,678.0,1
426,11,,2.0,2.0,292.0,1
427,11,,2.0,4.0,1089.0,1
428,11,,,,,1
429,11,,2.0,4.0,400.0,1
430,11,,2.0,2.0,637.0,1
431,11,,2.0,4.0,257.0,1
432,11,,2.0,2.0,665.0,1
433,11,,2.0,2.0,1126.0,1
434,11,,,,,1
435,11,,2.0,4.0,339.0,1
436,11,,2.0,4.0,1128.0,1
437,11,,2.0,4.0,0.0,1
438,11,,2.0,2.0,500.0,1
439,11,3.0,4.0,2.0,1415.0,1
440,11,,2.0,2.0,1239.0,1
441,11,,2.0,4.0,1078.0,1
442,11,,2.0,4.0,459.0,1
443,11,,,,,1
444,11,,,,,1
445,11,,2.0,4.0,598.0,1
446,11,,2.0,4.0,475.0,1
447,11,,2.0,4.0,357.0,1
448,11,,2.0,4.0,600.0,1
449,11,,2.0,4.0,878.0,1
450,11,3.0,4.0,4.0,678.0,1
451,11,,2.0,4.0,678.0,1
452,11,,2.0,4.0,433.0,1
453,11,,2.0,4.0,900.0,1
454,11,,2.0,4.0,200.0,1
455,11,,2.0,2.0,365.0,1
456,11,,2.0,4.0,1600.0,1
457,11,,2.0,4.0,244.0,1
458,11,3.0,4.0,4.0,678.0,1
459,11,,2.0,2.0,1400.0,1
460,11,,2.0,4.0,678.0,1
461,11,,,,,1
462,11,,,,,1
463,11,,2.0,4.0,1100.0,1
464,11,,2.0,4.0,286.0,1
465,11,,2.0,4.0,619.0,1
466,11,,2.0,2.0,1217.0,1
467,11,,2.0,4.0,500.0,1
468,11,,2.0,4.0,285.0,1
469,11,,2.0,4.0,689.0,1
470,11,,2.0,4.0,366.0,1
471,11,,2.0,4.0,851.0,1
472,11,,,,,1
473,11,,2.0,4.0,489.0,1
474,11,,2.0,2.0,350.0,1
475,11,,2.0,2.0,183.0,1
476,11,3.0,4.0,2.0,300.0,8
477,11,,2.0,4.0,885.0,8
478,11,,,,,8
479,11,,2.0,4.0,452.0,8
480,11,,2.0,2.0,410.0,8
481,11,,2.0,4.0,200.0,8
482,11,,2.0,4.0,250.0,8
483,11,,2.0,4.0,44.0,8
484,11,,2.0,4.0,270.0,8
485,11,,2.0,4.0,400.0,8
486,11,,2.0,4.0,134.0,8
487,11,,2.0,4.0,200.0,8
488,11,,2.0,4.0,999999999999.0,8
489,11,,2.0,4.0,1053.0,8
490,11,,2.0,4.0,276.0,8
491,11,,2.0,4.0,678.0,8
492,11,,2.0,4.0,150.0,1
493,11,,2.0,4.0,235.0,1
494,11,,2.0,2.0,380.0,1
495,11,,2.0,4.0,2178.0,1
496,11,3.0,4.0,4.0,70.0,1
497,11,,2.0,4.0,188.0,1
498,11,,2.0,4.0,1356.0,1
499,11,,2.0,4.0,678.0,1
500,11,,,,,1
501,11,3.0,4.0,4.0,500.0,1
502,11,,2.0,4.0,286.0,1
503,11,3.0,4.0,4.0,150.0,1
504,11,,,,,1
505,11,,,,,1
506,11,,2.0,2.0,542.0,1
507,11,,2.0,4.0,300.0,1
508,11,,2.0,4.0,0.0,1
509,11,,,,,1
510,11,,2.0,4.0,164.0,1
511,11,,2.0,4.0,325.0,1
512,11,,2.0,4.0,450.0,1
513,11,,2.0,4.0,475.0,1
514,11,3.0,4.0,4.0,169.0,1
515,11,,,,,1
516,11,,2.0,4.0,324.0,1
517,11,,2.0,2.0,1000.0,1
518,11,,,,,1
519,11,,2.0,4.0,3000.0,1
520,11,,2.0,4.0,339.0,1
521,11,,2.0,4.0,678.0,1
522,11,,2.0,4.0,324.0,1
523,11,,2.0,4.0,200.0,1
524,11,,2.0,4.0,600.0,1
525,11,,2.0,4.0,900.0,1
526,11,,2.0,4.0,0.0,1
527,11,,2.0,2.0,999999999999.0,1
528,11,,2.0,4.0,678.0,1
529,11,,,,,1
530,11,,2.0,2.0,1250.0,1
531,11,,2.0,4.0,452.0,1
532,11,,2.0,4.0,900.0,1
533,11,,2.0,4.0,431.0,1
534,11,,2.0,4.0,1800.0,1
535,11,,2.0,2.0,421.0,1
536,11,,2.0,4.0,1500.0,1
537,11,,2.0,4.0,1400.0,1
538,11,,2.0,2.0,250.0,1
539,11,,2.0,4.0,650.0,1
540,11,,2.0,4.0,678.0,1
541,11,,2.0,4.0,240.0,1
542,11,,2.0,4.0,149.0,1
543,11,,2.0,4.0,339.0,1
544,11,,,,,1
545,11,,2.0,4.0,678.0,1
546,11,,,,,1
547,11,,2.0,2.0,999999999999.0,1
548,11,,2.0,2.0,1800.0,1
549,11,,2.0,4.0,1750.0,1
550,11,,,,,1
551,11,,2.0,4.0,500.0,1
552,11,3.0,4.0,4.0,678.0,1
553,11,,2.0,4.0,1500.0,1
554,11,,2.0,4.0,46.0,1
555,11,3.0,4.0,4.0,300.0,8
556,11,,2.0,4.0,450.0,8
557,11,,2.0,4.0,1053.0,8
558,11,,2.0,2.0,344.0,8
559,11,3.0,4.0,4.0,283.0,8
560,11,,,,,8
561,11,,2.0,4.0,75.0,8
562,11,,2.0,4.0,678.0,8
563,11,,2.0,4.0,339.0,8
564,11,,2.0,4.0,678.0,8
565,11,,2.0,4.0,133.0,8
566,11,,2.0,4.0,274.0,8
567,11,,2.0,4.0,678.0,8
568,11,,,,,8
569,11,,2.0,4.0,496.0,8
570,11,,2.0,4.0,678.0,8
571,11,,2.0,4.0,135.0,1
572,11,,2.0,4.0,678.0,1
573,11,,,,,1
574,11,,,,,1
575,11,,2.0,4.0,678.0,1
576,11,,,,1500.0,1
577,11,,,,,1
578,11,,,,,1
579,11,,2.0,2.0,999999999999.0,1
580,11,,2.0,4.0,169.0,1
581,11,,2.0,4.0,900.0,1
582,11,,,,,1
583,11,,,,,1
584,11,,,,,1
585,11,,,,,1
586,11,,,,,1
587,11,,2.0,4.0,266.0,1
588,11,,2.0,4.0,304.0,1
589,11,,2.0,2.0,450.0,1
590,11,,2.0,4.0,718.0,1
591,11,,,,,1
592,11,,,,,1
593,11,,2.0,4.0,583.0,1
594,11,,2.0,4.0,770.0,1
595,11,,2.0,4.0,339.0,1
596,11,3.0,4.0,4.0,999999999999.0,1
597,11,,2.0,2.0,296.0,1
598,11,,,,,1
599,11,,2.0,4.0,185.0,1
600,11,,2.0,4.0,1000.0,1
601,11,,,,,1
602,11,,2.0,4.0,190.0,1
603,11,,2.0,4.0,33.0,1
604,11,,2.0,4.0,238.0,1
605,11,,2.0,4.0,0.0,1
606,11,,2.0,4.0,243.0,1
607,11,,,,,1
608,11,,,,,1
609,11,,2.0,4.0,266.0,1
610,11,,2.0,4.0,300.0,1
611,11,3.0,4.0,4.0,250.0,1
612,11,,2.0,2.0,1000.0,1
613,11,,2.0,2.0,708.0,1
614,11,,2.0,4.0,1200.0,1
615,11,,2.0,2.0,437.0,1
616,11,,2.0,4.0,1100.0,1
617,11,,2.0,4.0,482.0,1
618,11,,,,,1
619,11,,2.0,2.0,950.0,1
620,11,,2.0,4.0,283.0,1
621,11,,2.0,4.0,450.0,1
622,11,,2.0,4.0,758.0,1
623,11,,2.0,4.0,1356.0,1
624,11,,2.0,4.0,678.0,1
625,11,,2.0,2.0,546.0,1
626,11,,2.0,4.0,766.0,1
627,11,,2.0,4.0,852.0,1
628,11,,2.0,4.0,678.0,1
629,11,,2.0,4.0,1600.0,8
630,11,,2.0,4.0,113.0,8
631,11,,2.0,4.0,178.0,8
632,11,,,,,8
633,11,,2.0,4.0,392.0,8
634,11,,2.0,4.0,428.0,8
635,11,3.0,4.0,4.0,344.0,8
636,11,,,,,8
637,11,,2.0,4.0,339.0,8
